AP,AP: Approved by CRTC,AP: Approuvé par le CRTC
AU,AU: Authorized by Industry Canada,AU: Autorisé par Industrie Canada
AX,AX: Auxiliary Transmitter,AX: Transmetteur auxiliaire
AXO,AXO: Auxiliary – Operational,AXO: Transmetteur auxiliaire – en exploitation
AXP,AXP: Auxiliary – Proposed,AXP: Transmetteur auxiliaire – proposé
OP,OP: Operational,OP: En exploitation
OPR,OPR: Preliminary Proof,OPR: Preuve préliminaire
OO,OO: No changed parameters,OO: Sans changements
OOP,OOP: Operational,OOP: En exploitation
OTO,OTO: Temporary Operation,OTO: Exploitation temporaire
PAP,PAP: Approved by CRTC,PAP: Approuvé par le CRTC
PAU,PAU: Authorized by Industry Canada,PAU: Autorisé par Industrie Canada
PRE,PRE: Referred to CRTC (Comments),PRE: Référé au CRTC (commentaires)
PTP,PTP: Temporary Proposal,PTP: Demande temporaire
PUC,PUC: Under Consideration,PUC: À l'étude
RE,RE: Referred to CRTC (Comments),RE: Référé au CRTC (commentaires)
SD,SD: Short Duration,SD: Courte durée
TO,TO: Temporary Operation,TO: Exploitation temporaire
TP,TP: Temporary Proposal,TP: Demande temporaire
UC,UC: Under Consideration,UC: À l'étude
UX,UX: Auxiliary – Proposed,UX: Transmetteur auxiliaire – proposé
